Financial Instrument,Coupon,Maturity,Ratings,Issuer Debt/Equity,Issue Date,Time-To-Maturity (TTM),Payment Frequency,Ask,Ask Yield,Duration %  ,Convexity,Bid
DFS CORP CD 2546735Y8,4.9,Jun23'25,,,Jun 22 '23,0.92,Semi-Annual,99.968,4.9270000000000005,1.3809325695037842,0.019353984,99.818
MS CORP CD 61768EML4,4.4,Oct21'24,,,Oct 20 '22,0.25,Semi-Annual,99.777,5.269,0.7330601811408997,0.005426488,99.618
MS CORP CD 61768EJV6,3.1,May27'25,,,May 26 '22,0.84,Semi-Annual,98.439,5.005,1.459439992904663,0.021818699315190315,98.292
BACR CORP CD 06740KRQ2,5,Jun06'25,,,Jun 07 '23,0.87,Semi-Annual,100.01,4.974,0.8631603121757507,0.007509884,99.86
WFC CORP CD 949764NG5,5.1,Nov14'25,,,May 14 '24,1.31,Monthly,100.3,4.8486,1.268919587135315,0.016442485,100.138
MS CORP CD 61768ELR2,3.4,Sep09'24,,,Sep 08 '22,0.13,Semi-Annual,99.746,5.324,0.620391309,0.003890031,99.592
DFS CORP CD 254676BF5,5.5,May01'25,,,Nov 01 '23,0.77,Semi-Annual,100.734,4.5084,0.7633845210075378,0.005892422,100.222
WFC CORP CD 949764JZ8,4.7,Jun27'25,,,Dec 27 '23,0.93,Monthly,99.794,4.928,0.9064242243766785,0.008347555,99.644
WFC CORP CD 949764HH0,5.4,Nov07'25,,,Nov 07 '23,1.29,Monthly,100.848,4.7058,1.247496247291565,0.015920896,100.502
GMATBK CORP CD 02007GC68,4.8,Nov10'25,,,Nov 10 '22,1.3,Semi-Annual,100.068,4.734,1.2665495872497559,0.016320468857884407,99.758
UBS CORP CD 90355GCL8,4.65,Apr14'25,,,Apr 12 '23,0.73,Monthly,99.743,5.0120000000000005,0.7904473543167114,0.006321985,99.572
MS CORP CD 61768EJP9,3.15,May19'25,,,May 19 '22,0.82,Semi-Annual,98.684,4.8017,0.8182148933410645,0.006733208,98.364
MS CORP CD 61690U4F4,4.8,Oct15'24,,,Apr 13 '23,0.23,Semi-Annual,99.877,5.28,0.7129321694374084,0.005139975,99.719
C CORP CD 17312QU31,3.45,Oct14'25,,,Oct 12 '18,1.23,Semi-Annual,98.443,4.764,1.1963818073272705,0.014520281925797462,98.178
GMATBK CORP CD 02007GD26,4.8,Nov17'25,,,Nov 17 '22,1.32,Semi-Annual,100.098,4.712000000000001,1.2857348918914795,0.016810070723295212,99.759
WFC CORP CD 9497636H4,4.55,Feb18'25,,,Feb 15 '23,0.57,Monthly,99.689,5.102,0.6375827193260193,0.004100962,99.54
MS CORP CD 61690UMT4,1.95,Oct31'24,,,Oct 31 '19,0.27,Semi-Annual,99.109,5.258,0.27397260069847107,0.00075061,98.956
DFS CORP CD 254673D29,2.95,May12'25,,,May 11 '22,0.8,Semi-Annual,98.385,5.019,1.4588500261306763,0.021778001,98.275
MS CORP CD 61768E2E2,5.05,Oct24'25,,,Apr 24 '24,1.25,Semi-Annual,100.404,4.7022,1.2182750701904297,0.015133940614759922,99.992
COF CORP CD 14042TFY8,3.1,May12'25,,,May 11 '22,0.8,Semi-Annual,98.518,4.9990000000000006,1.456719994544983,0.021739099,98.368
WFC CORP CD 949764FT6,5.15,Sep12'25,,,Sep 12 '23,1.14,Monthly,100.303,4.875,1.1063649654388428,0.012469683773815632,100.137
SBNY CORP CD 82669GFQ2,4.5,Dec23'24,,13.372034015341347,Dec 23 '22,0.42,Semi-Annual,99.969,4.5437,0.4191780686378479,0.001757103,99.523
SYF CORP CD 87164WN95,3.3,Jul29'24,,,Jul 29 '22,0.02,Semi-Annual,99.967,5.628,0.016438355669379234,0.0000027,99.813
WFC CORP CD 949764BZ6,4.85,May09'25,,,May 09 '23,0.79,Monthly,100.003,4.8481000000000005,0.7816407084465027,0.006186472,99.748
MS CORP CD 61768EVY6,4.95,Jun30'25,,,Jun 29 '23,0.94,Semi-Annual,100.133,4.798900000000001,1.3997807502746582,0.019880615174770355,99.825
BMW CORP CD 05580AE67,0.65,Oct08'24,,,Oct 08 '21,0.21,Semi-Annual,99.09,5.0525,0.21095889806747437,0.00044504,98.884
BBUBNK CORP CD 05988ADA7,5.2,Feb14'25,,,May 15 '24,0.56,Monthly,100.05,5.109,0.5555190443992615,0.003112578,99.897
DFS CORP CD 2546733N4,4.85,Oct03'24,,,Apr 05 '23,0.2,Semi-Annual,100.065,4.548900000000001,0.1972602754831314,0.00038912,99.751
BACR CORP CD 06740KQS9,3.05,Jun02'25,,,Jun 02 '22,0.86,Semi-Annual,98.393,4.978000000000001,0.8540701866149902,0.007331653,98.243
WFC CORP CD 949764BG8,4.8,Oct25'24,,,Apr 25 '23,0.26,Monthly,100.139,4.2332,0.2534918487071991,0.00064641,99.737
CRORVR CORP CD 227563EJ8,5.45,Oct31'25,,,Oct 31 '23,1.27,Semi-Annual,100.724,4.843,1.6936140060424805,0.029534079134464264,100.54
WFC CORP CD 949763R73,1.95,Jan17'25,,,Jan 17 '20,0.49,Monthly,98.482,5.133,0.4831162989139557,0.002340228,98.332
MS CORP CD 61768EQA4,5.1,Sep09'24,,,Mar 09 '23,0.13,Semi-Annual,99.941,5.458,0.13150684535503387,0.00017294,99.803
PNFP CORP CD 72345SLH2,4.75,Oct15'24,,,Apr 14 '23,0.23,Monthly,99.886,5.255,0.3083057105541229,0.00095432,99.734
SMMSBK CORP CD 82869ADY8,5.45,Jul25'24,,,Oct 25 '23,0.01,Monthly,100.005,3.511,0.005479452,0.0000003,99.851
AXP CORP CD 02589ADP4,3.3,Aug12'24,,,Aug 10 '22,0.05,Semi-Annual,99.884,5.453,0.5411868691444397,0.002968813,99.753
WFC CORP CD 949764DA9,5,Jul07'25,,,Jul 05 '23,0.96,Monthly,100.111,4.88,1.0090887546539307,0.010360588319599628,99.926
SYF CORP CD 87164WDA3,3.3,Aug29'24,,,Aug 29 '14,0.1,Semi-Annual,99.859,4.7198,0.10136986523866653,0.00010276,99.705
DFS CORP CD 254673U95,4.35,Oct10'24,,,Oct 11 '22,0.22,Semi-Annual,99.944,4.5857,0.21643835306167603,0.00046846,99.641
